t,scen_name,t_year,Labr,TFPr,gr_Dcrb,Dcrb,cost1_Abat,CEms_land,CEms_land_cum
1,DICE_exogn_vars_default,5,7403.0,5.115,-0.0152,0.35032002736111795,0.0,2.6,2.6
2,DICE_exogn_vars_default,10,7853.090847672712,5.535714285714286,-0.015124151848075985,0.32468227884061035,0.06696572001087589,2.301,6.146099290780143
3,DICE_exogn_vars_default,15,8264.920660350976,5.978890926029328,-0.015048682179188174,0.30103494108661877,0.060536245184137236,2.036385,9.284397163120568
4,DICE_exogn_vars_default,20,8638.974959558942,6.444808261287906,-0.014973589104702431,0.2792152334480124,0.05474472739240658,1.8022007250000003,12.061790780141845
5,DICE_exogn_vars_default,25,8976.55691758462,6.9336925573668475,-0.014898870745408929,0.2590743237804786,0.04952587732490517,1.5949476416250004,14.519784131205675
6,DICE_exogn_vars_default,30,9279.54298469984,7.44571696954631,-0.01482452523147511,0.2404760814595792,0.04482128532749438,1.4115286628381252,16.695108246897163
7,DICE_exogn_vars_default,35,9550.179527637187,7.981000815484784,-0.014750550702398904,0.22329594629459243,0.04057867617885916,1.2492028666117407,18.620270089284134
8,DICE_exogn_vars_default,40,9790.919965599942,8.539609153763747,-0.014676945306962164,0.20741990217629527,0.03675124673579755,1.1055445369513905,20.3240383197966
9,DICE_exogn_vars_default,45,10004.298976254453,9.121552661859619,-0.01460370720318434,0.19274354540437236,0.03329707699973341,0.9784069152019808,21.831873203800132
10,DICE_exogn_vars_default,50,10192.8388950882,9.72678780501124,-0.014530834558276381,0.17917123863830614,0.030178606259664686,0.8658901199537529,23.16630707614326
11,DICE_exogn_vars_default,55,10358.982970443227,10.355217285293657,-0.014458325548594875,0.16661534231150932,0.027362166938099144,0.7663127561590714,24.347281053166927
12,DICE_exogn_vars_default,60,10505.05028880088,11.006690758294056,-0.01438617835959641,0.15499551615290016,0.024817569622194693,0.6781867892007781,25.39244302283287
13,DICE_exogn_vars_default,65,10633.207677451763,11.681005803119218,-0.014314391185792157,0.14423808418271025,0.02251773351639422,0.6001953084426886,26.317411365987233
14,DICE_exogn_vars_default,70,10745.454538260821,12.377909130047854,-0.0142429622307027,0.13427545719863382,0.020438357217652487,0.5311728479717794,27.136008349678843
15,DICE_exogn_vars_default,75,10843.617248100269,13.097098008973768,-0.014171889706813072,0.12504560735213152,0.018557625300697916,0.4700879704550248,27.860466680245917
16,DICE_exogn_vars_default,80,10929.350409038889,13.83822190086184,-0.014101171835528023,0.11649158993962029,0.016855946718119918,0.41602785385269697,28.501612302797778
17,DICE_exogn_vars_default,85,11004.142808573542,14.600884273750275,-0.014030806847127512,0.10856110800551673,0.015315721476724492,0.36818465065963685,29.069026178756175
18,DICE_exogn_vars_default,90,11069.326442880916,15.384644584369026,-0.013960792980722418,0.10120611577910266,0.01392113245483569,0.3258434158337786,29.571187458979356
19,DICE_exogn_vars_default,95,11126.087363263761,16.189020406192903,-0.013891128484210473,0.09438245734981604,0.012657959581427737,0.2883714230128941,30.015600191976873
20,DICE_exogn_vars_default,100,11175.477433974342,17.013489684694793,-0.01382181161423242,0.08804953733019336,0.011513413912759216,0.25520870936641127,30.408905460679673
21,DICE_exogn_vars_default,105,11218.426348174595,17.857493100693688,-0.01375284063612838,0.08217002056619174,0.010475989420471775,0.22585970778927397,30.756980623481653
22,DICE_exogn_vars_default,110,11255.753448762487,18.720436522987804,-0.013684213823894443,0.07670955823448389,0.009535330551238196,0.19988584139350746,31.065027142561405
23,DICE_exogn_vars_default,115,11288.179052678744,19.60169353190786,-0.01361592946013948,0.07163653791866233,0.008682113835800222,0.1768989696332541,31.337648311946985
